symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time,expiry_date
ICICI PRUDENTIAL NIFTY 50 INDEX FUND - DIRECT PLAN,,2022-04-01,UNKNOWN,MF,MF,buy,false,3444.720000,156.180000,DISCREPANT,DISCREPANT,2022-04-01T16:44:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,,2022-05-10,UNKNOWN,MF,MF,buy,false,836.823000,1194.990000,DISCREPANT,DISCREPANT,2022-05-10T16:44:00
EDELWEISS BHARAT BOND FOF - APRIL 2030 - DIRECT PLAN,,2022-08-01,UNKNOWN,MF,MF,buy,false,26577.300000,11.513500,DISCREPANT,DISCREPANT,2022-08-01T16:44:00
MOTILAL OSWAL NASDAQ 100 FUND OF FUND - DIRECT PLAN,,2022-08-01,UNKNOWN,MF,MF,buy,false,4262.200000,21.116000,DISCREPANT,DISCREPANT,2022-08-01T16:44:00
EDELWEISS BHARAT BOND FOF - APRIL 2030 - DIRECT PLAN,,2022-08-08,UNKNOWN,MF,MF,buy,false,0.029000,11.513500,DISCREPANT,DISCREPANT,2022-08-08T16:44:00
MIRAE ASSET EMERGING BLUECHIP FUND - DIRECT PLAN,,2022-12-05,UNKNOWN,MF,MF,buy,false,0.004000,89.914000,DISCREPANT,DISCREPANT,2022-12-05T08:44:00
MIRAE ASSET EMERGING BLUECHIP FUND - DIRECT PLAN,,2022-12-05,UNKNOWN,MF,MF,buy,false,2329.980000,89.914000,DISCREPANT,DISCREPANT,2022-12-05T16:44:00
