symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
HDFC TOP 100 FUND - REGULAR PLAN,INF179K01BE2,2024-04-08,BSE,MF,,sell,false,123.000000,1043.964000,1105427992,1105427992,2024-04-08T00:00:00
EDELWEISS BHARAT BOND FOF - APRIL 2030 - DIRECT PLAN,INF754K01KY1,2024-07-29,BSE,MF,,sell,false,26577.329000,13.842900,1281436982,1281436982,2024-07-29T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2024-07-29,BSE,MF,,sell,false,836.823000,1372.416200,1281436459,1281436459,2024-07-29T00:00:00
