symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-05-25,BSE,MF,,buy,false,526.390000,34.193500,442394608,442394608,2022-05-25T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2022-05-25,BSE,MF,,buy,false,1231.193000,16.243600,442394612,442394612,2022-05-25T00:00:00
UTI NIFTY INDEX FUND - DIRECT PLAN,INF789F01XA0,2022-05-25,BSE,MF,,buy,false,462.652000,108.067300,442394610,442394610,2022-05-25T00:00:00
ICICI PRUDENTIAL NIFTY NEXT 50 INDEX FUND - DIRECT PLAN,INF109K01Y80,2022-07-21,BSE,MF,,buy,false,485.709000,37.057400,478184300,478184300,2022-07-21T00:00:00
SBI GOLD FUND - DIRECT PLAN,INF200K01RP8,2022-07-21,BSE,MF,,buy,false,1239.464000,16.135200,478184263,478184263,2022-07-21T00:00:00
UTI NIFTY 50 INDEX FUND - DIRECT PLAN,INF789F01XA0,2022-07-21,BSE,MF,,buy,false,444.328000,112.523800,478184225,478184225,2022-07-21T00:00:00
NIPPON INDIA SMALL CAP FUND - DIRECT PLAN,INF204K01K15,2022-08-29,BSE,MF,,buy,false,454.587000,96.786300,500751436,500751436,2022-08-29T00:00:00
PARAG PARIKH FLEXI CAP FUND - DIRECT PLAN,INF879O01027,2022-08-29,BSE,MF,,buy,false,2168.896000,50.714500,500751016,500751016,2022-08-29T00:00:00
