symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
CGPOWER,INE067A01029,2020-12-11,NSE,EQ,EQ,buy,false,50.000000,46.200001,1253084,1000000004818355,2020-12-11T10:23:39
HINDUNILVR,INE030A01027,2020-12-15,NSE,EQ,EQ,buy,false,1.000000,2323.750000,26624995,1100000005088432,2020-12-15T10:47:43
HDFC,INE001A01036,2020-12-18,NSE,EQ,EQ,buy,false,10.000000,2440.899902,26834312,1100000006073769,2020-12-18T11:03:36
HDFC,INE001A01036,2020-12-21,NSE,EQ,EQ,buy,false,5.000000,2400.449951,29907219,1100000016146923,2020-12-21T14:55:09
HDFC,INE001A01036,2020-12-22,NSE,EQ,EQ,buy,false,5.000000,2371.199951,29010192,1100000013307652,2020-12-22T13:21:56
HDFC,INE001A01036,2020-12-22,NSE,EQ,EQ,buy,false,2.000000,2371.149902,29010191,1100000013307652,2020-12-22T13:21:56
HINDUNILVR,INE030A01027,2021-01-07,NSE,EQ,EQ,buy,false,15.000000,2383.850098,28085194,1100000009417529,2021-01-07T12:22:38
HDFC,INE001A01036,2021-01-08,NSE,EQ,EQ,buy,false,15.000000,2637.050049,27364631,1100000006835902,2021-01-08T11:29:51
BHARTIARTL,INE397D01024,2021-01-08,NSE,EQ,EQ,buy,false,75.000000,540.000000,3377524,1000000000394034,2021-01-08T13:41:20
