symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
EDELWEISS BHARAT BOND FOF - APRIL 2025 - DIRECT PLAN,INF754K01LI2,2024-07-29,BSE,MF,,sell,false,8000.000000,12.229500,1281425712,1281425712,2024-07-29T00:00:00
EDELWEISS BHARAT BOND FOF - APRIL 2030 - DIRECT PLAN,INF754K01KY1,2024-07-29,BSE,MF,,sell,false,18198.133000,13.842900,1281425685,1281425685,2024-07-29T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2024-07-29,BSE,MF,,sell,false,390.283000,1372.416200,1281425900,1281425900,2024-07-29T00:00:00
