symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2023-04-10,BSE,MF,,buy,false,16.105000,1257.281900,676508880,676508880,2023-04-10T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2023-05-10,BSE,MF,,buy,false,5.341000,1263.857800,705330170,705330170,2023-05-10T00:00:00
MIRAE ASSET TAX SAVER FUND - DIRECT PLAN,INF769K01DM9,2023-06-05,BSE,MF,,buy,false,3332.153000,36.161000,726588258,726588258,2023-06-05T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2023-06-08,BSE,MF,,buy,false,9.247000,1270.611600,732266156,732266156,2023-06-08T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2023-06-13,BSE,MF,,buy,false,12.385000,1271.681200,738180786,738180786,2023-06-13T00:00:00
NAVI NIFTY 50 INDEX FUND - DIRECT PLAN,INF959L01FP2,2024-03-26,BSE,MF,,buy,false,0.707000,14.145600,1084495772,1084495772,2024-03-26T00:00:00
