symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
NAVI NIFTY 50 INDEX FUND - DIRECT PLAN,INF959L01FP2,2025-04-02,BSE,MF,,sell,false,0.707000,15.147500,1762507426,1762507426,2025-04-02T00:00:00
PARAG PARIKH LIQUID FUND - DIRECT PLAN,INF879O01068,2025-04-02,BSE,MF,,sell,false,489.477000,1436.915100,1762506358,1762506358,2025-04-02T00:00:00
PARAG PARIKH LIQUID FUND-DIRECT PLAN-GROWTH,INF879O01068,2025-08-12,BSE,MF,,sell,false,43.078000,1468.792800,2040872359,2040872359,2025-08-12T00:00:00
MIRAE ASSET ELSS TAX SAVER FUND - DIRECT GROWTH,INF769K01DM9,2025-10-27,BSE,MF,,sell,false,2456.653000,57.935000,2204370884,2204370884,2025-10-27T00:00:00
MIRAE ASSET LARGE & MIDCAP FUND - DIRECT PLAN - GROWTH,INF769K01BI1,2025-10-27,BSE,MF,,sell,false,945.034000,176.973000,2204370184,2204370184,2025-10-27T00:00:00
ICICI PRUDENTIAL NASDAQ 100 INDEX FUND - DIRECT PLAN - GROWTH,INF109KC1U50,2026-01-28,BSE,MF,,buy,false,9632.084000,20.762900,2429680860,2429680860,2026-01-28T00:00:00
ICICI PRUDENTIAL NASDAQ 100 INDEX FUND - DIRECT PLAN - GROWTH,INF109KC1U50,2026-02-03,BSE,MF,,buy,false,10026.270000,19.946600,2445573440,2445573440,2026-02-03T00:00:00
