symbol,isin,trade_date,exchange,segment,series,trade_type,auction,quantity,price,trade_id,order_id,order_execution_time
RELIANCEPP,IN9002A01024,2020-10-15,NSE,EQ,E1,buy,false,5.000000,1318.300049,77975166,1300000011517987,2020-10-15T14:12:58
ITC,INE154A01025,2020-10-15,BSE,EQ,A,buy,false,20.000000,165.949997,5390900,1602731708512516087,2020-10-15T14:24:27
CGPOWER,INE067A01029,2020-10-16,BSE,EQ,B,buy,false,50.000000,22.900000,4139800,1602819000000455701,2020-10-16T11:06:12
RELIANCEPP,IN9002A01024,2020-10-20,NSE,EQ,E1,buy,false,2.000000,1280.699951,76508510,1300000005962475,2020-10-20T11:36:29
DABUR,INE016A01026,2020-10-21,BSE,EQ,A,buy,false,5.000000,525.250000,913200,1603251000058174174,2020-10-21T09:33:51
RELIANCEPP,IN9002A01024,2020-10-22,BSE,EQ,A,buy,false,2.000000,1219.949951,1651200,1603337400032170873,2020-10-22T10:42:40
CENTURYTEX,INE055A01016,2020-10-27,NSE,EQ,EQ,buy,false,5.000000,310.299988,1939132,1020000007094980,2020-10-27T11:23:58
HDFC,INE001A01036,2020-10-28,NSE,EQ,EQ,buy,false,1.000000,2000.000000,25951892,1100000002933165,2020-10-28T10:24:46
HDFC,INE001A01036,2020-10-29,NSE,EQ,EQ,buy,false,1.000000,1956.650024,25671182,1100000003022340,2020-10-29T09:56:11
CGPOWER,INE067A01029,2020-11-02,BSE,EQ,B,buy,false,7.000000,32.049999,2687700,1604287800000336098,2020-11-02T10:10:19
CGPOWER,INE067A01029,2020-11-03,BSE,EQ,B,buy,false,30.000000,30.850000,2232000,1604374200000357199,2020-11-03T10:05:23
RELIANCEPP,IN9002A01024,2020-11-03,BSE,EQ,A,sell,false,7.000000,1015.000000,5626800,1604374200076399507,2020-11-03T12:27:15
CENTURYTEX,INE055A01016,2020-11-04,NSE,EQ,EQ,buy,false,3.000000,305.549988,762036,1000000004362768,2020-11-04T10:06:48
HDFC,INE001A01036,2020-11-05,NSE,EQ,EQ,buy,false,2.000000,2088.600098,26785891,1100000007485075,2020-11-05T11:52:15
DIVISLAB,INE361B01024,2020-11-09,BSE,EQ,A,sell,false,1.000000,3361.949951,6052000,1604907802708061661,2020-11-09T13:53:43
HINDUNILVR,INE030A01027,2020-11-09,NSE,EQ,EQ,buy,false,1.000000,2129.350098,28129441,1100000010719142,2020-11-09T14:20:13
CENTURYTEX,INE055A01016,2020-11-10,BSE,EQ,A,buy,false,3.000000,312.600006,1914700,1604978101023191816,2020-11-10T09:33:29
CGPOWER,INE067A01029,2020-11-10,BSE,EQ,B,buy,false,20.000000,31.700001,2205200,1604979000000398107,2020-11-10T09:35:33
ITC,INE154A01025,2020-11-11,NSE,EQ,EQ,sell,false,20.000000,185.149994,30365330,1100000019173770,2020-11-11T15:26:01
RELIANCEPP,IN9002A01024,2020-11-12,NSE,EQ,E1,buy,false,1.000000,1101.000000,75016134,1300000000156460,2020-11-12T09:15:00
HDFC,INE001A01036,2020-11-13,NSE,EQ,EQ,buy,false,1.000000,2306.050049,27021010,1100000008119407,2020-11-13T11:50:16
CENTURYTEX,INE055A01016,2020-11-17,BSE,EQ,A,buy,false,3.000000,317.399994,5442200,1605583800018740841,2020-11-17T15:00:21
BHARTIARTL,INE397D01024,2020-11-17,NSE,EQ,EQ,buy,false,3.000000,486.549988,4449077,1000000014651014,2020-11-17T15:01:06
CGPOWER,INE067A01029,2020-11-17,NSE,EQ,EQ,buy,false,50.000000,37.799999,4794004,1000000015328484,2020-11-17T15:18:43
DABUR,INE016A01026,2020-11-17,BSE,EQ,A,buy,false,4.000000,511.799988,7482200,1605598991663420612,2020-11-17T15:20:43
HDFC,INE001A01036,2020-11-18,NSE,EQ,EQ,buy,false,1.000000,2331.149902,27294961,1100000007645164,2020-11-18T12:17:47
RELIANCEPP,IN9002A01024,2020-11-20,BSE,EQ,A,buy,false,2.000000,1043.699951,5503200,1605843000009629759,2020-11-20T12:24:03
